air_temp,dni,ghi,period_end,period
19,0,0,2022-10-25T15:00:00+00:00,PT30M
19,0,0,2022-10-25T15:30:00+00:00,PT30M
19,0,0,2022-10-25T16:00:00+00:00,PT30M
19,0,0,2022-10-25T16:30:00+00:00,PT30M
18,0,0,2022-10-25T17:00:00+00:00,PT30M
18,0,0,2022-10-25T17:30:00+00:00,PT30M
18,0,0,2022-10-25T18:00:00+00:00,PT30M
18,0,0,2022-10-25T18:30:00+00:00,PT30M
18,0,0,2022-10-25T19:00:00+00:00,PT30M
18,86,17,2022-10-25T19:30:00+00:00,PT30M
18,449,94,2022-10-25T20:00:00+00:00,PT30M
19,618,195,2022-10-25T20:30:00+00:00,PT30M
19,722,304,2022-10-25T21:00:00+00:00,PT30M
20,793,414,2022-10-25T21:30:00+00:00,PT30M
20,848,522,2022-10-25T22:00:00+00:00,PT30M
21,890,624,2022-10-25T22:30:00+00:00,PT30M
21,920,717,2022-10-25T23:00:00+00:00,PT30M
22,924,793,2022-10-25T23:30:00+00:00,PT30M
22,294,606,2022-10-26T00:00:00+00:00,PT30M
23,52,479,2022-10-26T00:30:00+00:00,PT30M
23,0,423,2022-10-26T01:00:00+00:00,PT30M
23,101,497,2022-10-26T01:30:00+00:00,PT30M
24,515,810,2022-10-26T02:00:00+00:00,PT30M
24,295,707,2022-10-26T02:30:00+00:00,PT30M
24,400,732,2022-10-26T03:00:00+00:00,PT30M
24,610,781,2022-10-26T03:30:00+00:00,PT30M
24,914,831,2022-10-26T04:00:00+00:00,PT30M
24,911,763,2022-10-26T04:30:00+00:00,PT30M
24,867,674,2022-10-26T05:00:00+00:00,PT30M
24,862,585,2022-10-26T05:30:00+00:00,PT30M
24,396,394,2022-10-26T06:00:00+00:00,PT30M
24,452,317,2022-10-26T06:30:00+00:00,PT30M
24,443,234,2022-10-26T07:00:00+00:00,PT30M
23,294,134,2022-10-26T07:30:00+00:00,PT30M
23,29,43,2022-10-26T08:00:00+00:00,PT30M
23,0,2,2022-10-26T08:30:00+00:00,PT30M
23,0,0,2022-10-26T09:00:00+00:00,PT30M
23,0,0,2022-10-26T09:30:00+00:00,PT30M
22,0,0,2022-10-26T10:00:00+00:00,PT30M
22,0,0,2022-10-26T10:30:00+00:00,PT30M
22,0,0,2022-10-26T11:00:00+00:00,PT30M
21,0,0,2022-10-26T11:30:00+00:00,PT30M
21,0,0,2022-10-26T12:00:00+00:00,PT30M
21,0,0,2022-10-26T12:30:00+00:00,PT30M
20,0,0,2022-10-26T13:00:00+00:00,PT30M
20,0,0,2022-10-26T13:30:00+00:00,PT30M
20,0,0,2022-10-26T14:00:00+00:00,PT30M
20,0,0,2022-10-26T14:30:00+00:00,PT30M
19,0,0,2022-10-26T15:00:00+00:00,PT30M
